response_id	tweet_id	user_id	screen_name	retweet_count	text	source	url	has_image	has_video	media_url	is_retweet	is_quote	in_reply_to_id	in_reply_to_url	id	tweet_id	annotator	impression	information	affect	channel	severity_value	severity_explanation	comments	created_at	intent	other_intent	is_reconciling	collapsed_code

968	806843726232428548	575461536	Bossman_Bucks	0	@YakMoneyyyy wyo tho yhu Finna go too skew	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/806843726232428548	f	f	""	f	f	806842253683593217	http://twitter.com/statuses/806842253683593217	968	806843726232428548	Kyle	This is part of an ongoing conversation between Bossman_Bucks and yakmoneyyyy in this message Bossman_Bucks asks yakmoneyyyy what he's up to and if he's planning on going to school.	"[""request""]"	""	f	0.0	This is a conversation where Bossman_Bucks asks yakmoneyyyy if he's going to school and what else he's up to.	This is an ongoing conversation between Bossman_Bucks and yakmoneyyyy in this message Bossman_Bucks responds to yakmoneyyyys playful message to ask him if he's going to school and what else he's planning on doing.	2017-06-05 13:40:49.798175	"[""GEN""	""CONVO""]"	""	f	"[""Other""]"

1755	827375211746045953	304145640	JaylaG___	35	"RT @BestofCancer: At a house party	 the #Cancer female is sitting in the bathroom away from everyone with her friend having a heart to hear…"	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/827375211746045953	f	f	""	t	f	""	""	1755	827375211746045953	Ian	Horoscope retweet about Cancer sign	"[""supply""	""repeat""]"	"[""pos_sentiment""]"	f	0.0	Not threatening	jaylag_ retweeted bestofcancer horoscope about the cancer sign sitting with a close friend having a heart-to-heart.	2017-06-25 19:43:27.323683	"[""REL""	""RETWEET""]"	""	f	"[""Other""]"

1759	827741339777433600	304145640	JaylaG___	1	@CallMeJasss__ I would've did those🤦🏽‍♀️	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/827741339777433600	f	f	""	f	f	827741228204716033	http://twitter.com/statuses/827741228204716033	1759	827741339777433600	Ian	Saying she would have bought the shoes posted in a picture	"[""supply""]"	"[""pos_sentiment""]"	t	0.0	Not threatening	"jaylag_ is saying she would have bought the shoes that callmejasss wanted to buy.  1 retweet 1 like



""I would have bought those"""	2017-06-25 19:50:06.357231	"[""GEN""	""CONVO""]"	""	f	"[""Other""]"

1765	827771117762928640	304145640	JaylaG___	4	Crack a joke and brighten up the whole room with my energy or with my conversation that's how I grew up ❤️	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/827771117762928640	f	f	""	f	f	""	""	1765	827771117762928640	Ian	Talking about her ability to make people laugh	"[""supply""]"	"[""pos_sentiment""]"	f	0.0	Not threatening	"jaylag_ says she was raised to make people laugh and brighten up people's days.  



""I can crack a joke and brighten up the whole room with my energy or with my conversation.  That's how I was raised."""	2017-06-25 19:59:33.767144	"[""REL""	""HAPPY""	""JOKE""]"	""	f	"[""Other""]"

2106	827925327485816832	304145640	JaylaG___	1	RT @kamari_keeper: @JaylaG___ My Lil One Blacking Out Still Okayyyyy Okayyyyy Cool	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/827925327485816832	f	f	""	t	f	""	""	2106	827925327485816832	Ian	Unclear.  Talking about blacking out?	"[""supply""	""repeat""]"	"[""notsure""]"	f	0.0	n/a	The meaning is a little unclear.  This is a retweet.  JaylaG_ retweeted kamari_keeper.  Seems to be talking about blacking out but things are ok.	2017-07-11 20:24:51.448006	"[""AOD""	""GEN""	""RETWEET""]"	""	f	"[""Aggression""	""Other""]"

2636	829407503767179265	515828542	KiddoFrmDaTre	0	@_NadiyahFlow_ thanks 💯💯	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	http://twitter.com/statuses/829407503767179265	f	f	""	f	f	829370022392918016	http://twitter.com/statuses/829370022392918016	2636	829407503767179265	Nana	Poster is thanking ed.	"[""supply""	""notsure""]"	"[""pos_sentiment""	""nice""]"	f	0.0	Poster is thanking ed for wishing poster happy birthday.	"_NadiyahFlow_ retweets KiddoFrmDaTre's birthday picture with a ""happy birthday"" and party emoji. KiddoFrmDaTre's retweets her retweet thanking with ""thanks"" and 100 emojis."	2017-07-31 10:16:25.658328	"[""HAPPY""	""RETWEET""]"	Happy Birthday Post	f	"[""Other""]"

2377	829407503767179265	515828542	KiddoFrmDaTre	0	@_NadiyahFlow_ thanks 💯💯	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	http://twitter.com/statuses/829407503767179265	f	f	""	f	f	829370022392918016	http://twitter.com/statuses/829370022392918016	2377	829407503767179265	Joseph	A thankyou to a happy birthday	""	"[""pos_sentiment""]"	f	0.0	A non harmful thankyou.	A regular thankyou to someone saying happy birthday.	2017-07-19 14:25:02.31374	"[""HAPPY""]"	""	f	"[""Other""]"

2428	829620864362610692	3279064956	DopeboyJuggin	22	RT @_DaRealTman_: Ion beg a soul to fwm 💯	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	http://twitter.com/statuses/829620864362610692	f	f	""	t	f	""	""	2428	829620864362610692	Chloe	He's saying i don't beg a soul to fuck with him.	"[""supply""	""repeat""]"	""	f	0.0	This tweet is not threatening.	"DopeboyJuggin is retweeting a young man who is saying that he doesn't beg anyone to fuck with him. Possibly meaning he doesn't try to start anything with anyone. he adds a 100 emoji to express he's speaking the truth. DopeboyJuggin most likely agreed with the tweet and wanted to share it on his timeline.



'I dont beg a soul to fuck with me'"	2017-07-20 13:59:41.907945	"[""RETWEET""	""REFLECT""]"	""	f	"[""Other""]"

2582	829612612463816708	570562543	TyGLIZZY087_	0	@PrettyAssGirl__ in pain 😩 tml	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/829612612463816708	f	f	""	f	f	829612514883338240	http://twitter.com/statuses/829612514883338240	2582	829612612463816708	Allison	He is in pain tells girl to text him later.	"[""supply""]"	"[""neg_sentiment""]"	t	0.0	No threat.	"TyGLIZZY087_ is in pain and requests PrettyAssGirl__ to ""tml"" meaning text me later."	2017-07-26 07:50:57.311246	"[""SAD""	""GEN""	""CONVO""	""HEALTH""]"	""	f	"[""Loss""	""Other""]"

2031	829612612463816708	570562543	TyGLIZZY087_	0	@PrettyAssGirl__ in pain 😩 tml	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/829612612463816708	f	f	""	f	f	829612514883338240	http://twitter.com/statuses/829612514883338240	2031	829612612463816708	Chloe	he's in pain and he'll talk to her later.	"[""supply""]"	""	f	0.0	this tweet is not threatening.	"TyGLIZZY087_ is replying to a young woman who is asking if he's awake and what he's doing. He's replying that he is in pain with a weary face emoji. I'm unsure what he's referring to about being in pain. the weary face could represent being in pain and being tired it's sometimes used to represent laughing. He tell her to text him later (tml).



'In pain text me later'"	2017-07-10 15:35:44.234272	"[""GEN""	""CONVO""	""HEALTH""]"	""	f	"[""Other""]"

2431	830406657771524097	3279064956	DopeboyJuggin	0	She say she can not fuck off the zannie she need a upper...	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	http://twitter.com/statuses/830406657771524097	f	f	""	f	f	""	""	2431	830406657771524097	Chloe	She needs an upper to get off the xanax.	"[""supply""	""quotation""]"	""	f	0.0	This tweet is not threatening.	"DopeboyJuggin is quoting a lyric from Lil Durk's song Glock Up. Most likely  he like the song and wanted to share it on his timeline.



'She says she can not fuck off the xanax she needs an upper'"	2017-07-20 14:05:36.162191	"[""AOD""	""LYRIC""]"	""	f	"[""Aggression""]"

2300	832063952251125760	4026332440	TriggalilSis	1	RT @kamari_keeper: @TriggalilSis 😭😭🖕🏾	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/832063952251125760	f	f	""	t	f	""	""	2300	832063952251125760	Allison	Screw you.	"[""supply""	""repeat""]"	"[""neg_sentiment""]"	t	0.0	No threat.	TriggalilSis retweeted kamari_keeper's response to her in chain conversation about when they hung out. Kamari_keeper gives crying emoji with the middle finger emoji. They are friends so this is a friendly way to talk back to her. She replies back to kamari_keeper after this post.	2017-07-18 18:14:19.992792	"[""GEN""	""RETWEET""]"	""	f	"[""Other""]"

1810	832063952251125760	4026332440	TriggalilSis	1	RT @kamari_keeper: @TriggalilSis 😭😭🖕🏾	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/832063952251125760	f	f	""	t	f	""	""	1810	832063952251125760	Chloe	The user found what Triggalilsis said was funny but may also be embarrassing which is why she included the middle finger emoji.	"[""supply""]"	""	f	0.0	This tweet is not threatening.	Triggalilsis retweeted a young woman she was having a conversation with. They were talking about a memory they shared together from 2015. Triggalilsis expressed that she dropped her friend off at woo woo's house. The user is replying to that state. She most likely found the statement funny but it may have also been embarrassing which is why she included a middle finger emoji to say fuck you to triggalilsis but in a joking way. Triggalilsis most likely found the tweet funny and wanted to share it on her timeline.	2017-06-26 15:02:03.606435	"[""RETWEET""	""JOKE""]"	""	f	"[""Other""]"

2245	833673832200278018	147350851	freeraybandz	0	I wish I knew how every bitch fucked	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/833673832200278018	f	f	""	f	f	""	""	2245	833673832200278018	Chloe	He wishes he knew how every woman had sex.	"[""supply""]"	""	f	0.0	This tweet is not threatening.	"freeraybandz is saying that he wished he knew how everyone has sex.



'I wish I knew how every woman had sex'"	2017-07-17 16:02:57.112392	"[""WOM""	""SEX""	""REFLECT""]"	""	f	"[""Other""]"

2110	827926189717278720	304145640	JaylaG___	1	RT @kamari_keeper: @JaylaG___ I Said That Too Man But I think I'm a Jus get a new phone with a new number	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/827926189717278720	f	f	""	t	f	""	""	2110	827926189717278720	Ian	Retweet about getting a new phone	"[""supply""]"	"[""neg_sentiment""]"	t	0.0	n/a	Talking about getting a new phone. JaylaG_ retweeted kamari_keeper.  The conversation is about blacking out but meaning is unclear.	2017-07-11 20:36:02.060498	"[""SAD""	""GEN""]"	""	f	"[""Loss""	""Other""]"

2113	827926818862800896	304145640	JaylaG___	1	RT @kamari_keeper: @JaylaG___ Cuz We Blacking Out GNuk &amp; Dmoney Cappers	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/827926818862800896	f	f	""	t	f	""	""	2113	827926818862800896	Ian	Saying they will black out people.  Meaning unclear	"[""supply""	""repeat""]"	"[""notsure""]"	t	0.0	n/a	"JaylaG_ retweeted kamari_keeper during their conversation.  Talking about ""blacking out"" two people.  Unsure what blacking out means."	2017-07-11 20:39:57.331804	"[""GEN""	""RETWEET""	""CONVO""]"	""	f	"[""Other""]"

2437	829578029345210368	570562543	TyGLIZZY087_	0	#Never https://t.co/GsO553oZmb	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/829578029345210368	f	f	""	f	t	""	""	2437	829578029345210368	Allison	Never do this.	"[""supply""]"	"[""notsure""]"	f	0.0	No information.	The link has been deleted.	2017-07-20 18:31:17.188041	"[""GEN""	""DELETED""]"	""	f	"[""Other""]"

2003	829578029345210368	570562543	TyGLIZZY087_	0	#Never https://t.co/GsO553oZmb	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/829578029345210368	f	f	""	f	t	""	""	2003	829578029345210368	Chloe	The tweet is unavailable	"[""supply""]"	""	f	0.0	This tweet is not threatening portion of the tweet unavailable.	"TyGLIZZY087_ is reacting to a tweet by saying never. however the link to the tweet is unavailable. 



'never'"	2017-07-08 14:56:03.605409	"[""DELETED""]"	""	f	"[""Other""]"

2645	829821554116665344	515828542	KiddoFrmDaTre	1	RT @DRE_079: @058_powermoves goodlooking blood u know I'm tddd	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	http://twitter.com/statuses/829821554116665344	f	f	""	t	f	""	""	2645	829821554116665344	Nana	ed is replying to poster that they are having fun.	"[""supply""]"	"[""pos_sentiment""	""nice""]"	f	0.3	"Initial poster of post tweeted a picture of him in a gun shop saying ""it's time bloodd"". This can be an indication of the initial poster's intentions with purchasing a gun just by using that caption."	"DRE_079 tweeted a video of him in a gun shop tagging TUCKBOID067 and KiddoFrmDaTre saying ""it's timeee bloodd"". KiddoFrmDaTre retweeted the video by saying ""Oohhhh u td lil bitch happy bday hoe"". DRE_079 commented on the retweet with ""goodlooking blood u know I'm tddd"". Apparently it was DRE_079's birthday and he was celebrating by going out to purchase a gun. Doing so he was showing off to his friends (including KiddoFrmDaTre). KiddoFrmDaTre was apparently proud."	2017-07-31 11:29:57.239773	"[""BRAG""	""GUNS""	""HAPPY""	""RETWEET""	""CONVO""]"	""	f	"[""Aggression""	""Other""]"

2466	829821554116665344	515828542	KiddoFrmDaTre	1	RT @DRE_079: @058_powermoves goodlooking blood u know I'm tddd	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	http://twitter.com/statuses/829821554116665344	f	f	""	t	f	""	""	2466	829821554116665344	Joseph	saying thankyou to his friend telling him happy birthday.	"[""accept""]"	"[""pos_sentiment""]"	f	0.0	No threat just a sign of gratitude.	It seems like his birthday hit and he is maybe is old enough to purchase guns. It's possible that's what him and his friend is talking about.	2017-07-24 09:52:17.488773	"[""BRAG""	""GUNS""	""HAPPY""]"	""	f	"[""Aggression""	""Other""]"

1895	832051311453552644	4026332440	TriggalilSis	1	RT @TriggaCousin_: @Lowend39_ dey only kept Choyces &amp; ohage	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/832051311453552644	f	f	""	t	f	""	""	1895	832051311453552644	William	missing context. TriggalilSis is retweeting a tweet with her name in it.	"[""supply""	""repeat""]"	""	t	0.0	Not threatening missing context.	"TriggalilSis is retweeting a tweet from her cousin TriggaCousin_ that is in response to a user whose profile is private Lowend39_. Lowend39_ seems to be from the Low End and 39th street of the South side of Chicago. TriggaCousin_ seems to be saying that someone (dey) kept Cgoyces (TriggalilSis) and Ohage. 



Context from other tweets 'Dey' refers to the police. TriggaCousin_ is telling Lowend39_ that the police picked up picked up TriggalilSis and Ohage and they still have them in custody."	2017-06-28 14:38:58.25593	"[""GEN""	""RETWEET""	""CONVO""	""DELETED""]"	""	f	"[""Other""]"

1942	832051405418536961	4026332440	TriggalilSis	2	RT @TheFamous_Tay: Everytime Choyces On Twitter She Be Having Me In Tears She Should Get In Here More Often	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/832051405418536961	f	f	""	t	f	""	""	1942	832051405418536961	William	someone expressing that TriggalilSis is funny when she is on Twitter.	"[""supply""	""repeat""]"	"[""pos_sentiment""]"	f	0.0	Not threatening.	TriggalilSis is retweeting TheFamous_Tay who seems to know TriggalilSis. TheFamous_Tay is saying that TriggalilSis is very funny when she is on Twitter because of all the jokes she makes and she wants TriggalilSis to come on Twitter more often so that she can laugh. It is still unclear what Choyces TriggalilSis has said that makes this user laugh because TriggalilSis is retroactively retweeting tweets with her name in them	2017-07-04 18:22:07.706792	"[""GEN""	""RETWEET""]"	""	f	"[""Other""]"

2085	827809582554693632	304145640	JaylaG___	12	RT @JaylaG___: My baby💏 https://t.co/eRQjSKiITS	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/827809582554693632	t	f	http://pbs.twimg.com/media/C0oQSvMUUAArTFj.jpg	t	f	""	""	2085	827809582554693632	Ian	Picture with her boyfriend	"[""supply""]"	"[""pos_sentiment""]"	f	0.0	Not threatening	"JaylaG_ posted a picture of her boyfriend and her.  They posing for a picture.  Unclear what the boyfriend's name is.



""My boyfriend"""	2017-07-11 17:17:20.319993	"[""REL""]"	""	f	"[""Other""]"

2649	829872084293664773	515828542	KiddoFrmDaTre	0	FREE MY RAPPY YAW HEAR EM WE DROPPING DIS WEN HE GET OUT ON BRO 💯💯🎯🙏🏽 @OBOYFREEKO https://t.co/OLgQKWrejM	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	http://twitter.com/statuses/829872084293664773	f	t	http://pbs.twimg.com/ext_tw_video_thumb/829871319315525632/pu/img/ATDwBBii9xGwlrQ3.jpg	f	f	""	""	2649	829872084293664773	Nana	Poster is supporting friend in jail by wanting him released. Him and friend are going to release a collaboration.	"[""supply""]"	"[""notsure""]"	f	0.0	Poster is promoting song.	"KiddoFrmDaTre tweeted a video of his new song collaboration with his incarcerated friend (ed) with the caption of ""FREE MY RAPPY YAW HEAR EM WE DROPPING DIS WEN HE GET OUT ON BRO"" and 100 emojis dart emoji and praising emoji."	2017-07-31 14:21:53.742392	"[""PRIDE""	""PROMO""]"	""	f	"[""Aggression""	""Other""]"

2479	829872084293664773	515828542	KiddoFrmDaTre	0	FREE MY RAPPY YAW HEAR EM WE DROPPING DIS WEN HE GET OUT ON BRO 💯💯🎯🙏🏽 @OBOYFREEKO https://t.co/OLgQKWrejM	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	http://twitter.com/statuses/829872084293664773	f	t	http://pbs.twimg.com/ext_tw_video_thumb/829871319315525632/pu/img/ATDwBBii9xGwlrQ3.jpg	f	f	""	""	2479	829872084293664773	Joseph	hes promoting a song	"[""supply""]"	"[""pos_sentiment""]"	f	0.0	Music promo.	He's promoting him and his friends mixtape.	2017-07-24 13:53:14.133993	"[""LYRIC""	""PROMO""]"	""	f	"[""Aggression""	""Other""]"

2199	833383191230763008	147350851	freeraybandz	8	RT @058_powermoves: Im wit da gang yea yea yea yea allat http://t.co/2VpiJxJMSu	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/833383191230763008	f	t	http://pbs.twimg.com/ext_tw_video_thumb/571519071914610689/pu/img/9J3imXgQSkztqP4j.jpg	t	f	""	""	2199	833383191230763008	Chloe	He's posting about being with his gang.	"[""supply""	""repeat""]"	""	f	0.0	This tweet is not threatening.	"freeraybandz is retweeting a young man who posted a video of a group of young men smoking weed and showing their guns. He says in the video and captions the video that he's with the gang yeah all that. the tweet was originally from Feb 2015. I believe freeraybandz is retweeting it now because his friend Jumoney who was recently killed is in the video. He most likely wanted to share the memory of his friend.



'I'm with the gang yeah all that'"	2017-07-13 14:56:47.731058	"[""AOD""	""GUNS""	""GANG""	""RETWEET""]"	""	f	"[""Aggression""	""Other""]"

2250	833738277719044097	147350851	freeraybandz	0	@ShorewoodPD815 I'm out your jurisdiction	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/833738277719044097	f	f	""	f	f	833727374843867137	http://twitter.com/statuses/833727374843867137	2250	833738277719044097	Chloe	he's saying he can't sell to them because they're out of his jurisdiction.	"[""supply""]"	""	t	0.0	This tweet is not threatening.	"freeraybandz is replying to a fake shorewood police account. The account was saying that they would buy xanax from freeraybandz to which he replied that they are out of hit jurisdiction. 



'I'm out of your jurisdiction'"	2017-07-17 16:20:15.108599	"[""AOD""	""CONVO""	""JOKE""]"	""	f	"[""Aggression""	""Other""]"

1528	832504225498353664	2157364284	CAP600FUCK12	0	Uppp off the kodak	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/832504225498353664	f	f	""	f	f	""	""	1528	832504225498353664	Ian	Unclear. Tweeter is talking about the Kodak presumably the camera	"[""supply""]"	"[""pos_sentiment""]"	f	0.0	talking about self. Not threatening.	Tweeter is saying he isn't using the Kodak. Meaning of tweet is unclear.  4 likes.	2017-06-19 12:08:34.447552	"[""GEN""]"	""	f	"[""Other""]"

1344	831103628169641985	2157364284	CAP600FUCK12	2	RT @FreeKerryHOE: It's Sum To Every Bitch Outhere U Just Gotta Find Out 🤔💯	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/831103628169641985	f	f	""	t	f	""	""	1344	831103628169641985	Ian	Talking about other people having secrets.	"[""supply""	""repeat""]"	"[""neg_sentiment""]"	f	0.0	Doesn't trust people. Not threatening.	Tweeter is saying that people have secrets. Unsure what this refers to. 2 retweets 2 likes.	2017-06-13 16:35:33.100717	"[""TRUST""	""RETWEET""]"	""	f	"[""Aggression""	""Other""]"

781	827593400316809217	595521082	TaraBaybeee	0	My nails look cute 🙃💅	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	http://twitter.com/statuses/827593400316809217	f	f	""	f	f	""	""	781	827593400316809217	Ian	Tweeter likes her nails.	"[""supply""]"	"[""pos_sentiment""]"	f	0.0	Tweeter talking about her nails. Not threatening.	Tweeter  is saying she likes her nails. 0 comments likes retweets.	2017-05-30 13:04:58.223768	"[""HAPPY""]"	""	f	"[""Other""]"

673	827593400316809217	595521082	TaraBaybeee	0	My nails look cute 🙃💅	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	http://twitter.com/statuses/827593400316809217	f	f	""	f	f	""	""	673	827593400316809217	Kyle	This is a tweet where TaraBaybee is letting people know that she got her nails done and is very happy with them. She tweets a lot about her appearance and this is another post letting us know that she is taking care of herself.	"[""supply""]"	"[""pos_sentiment""]"	f	0.0	This is about nails	TaraBaybee got her nails done and thinks they look really cute.	2017-05-25 11:50:10.588247	"[""HAPPY""]"	bodyimage	f	"[""Other""]"

2136	832053107131572224	4026332440	TriggalilSis	2	RT @Finni_Riann: wonder do choyces miss me👭😍😏	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/832053107131572224	f	f	""	t	f	""	""	2136	832053107131572224	Allison	Does Choyces miss me?	"[""supply""	""repeat""]"	"[""pos_sentiment""]"	f	0.0	No threat tweet about feelings.	"TriggalilSis retweeted Finni_Riann's post. I'm not sure if Choyces and Finni_Riann are friends acquaintances or strangers but the comment is playful. The emojis included are two girls holding hands heart faced emoji and the smirking face emoji. Choyces is retweeting old posts that have her name in them. This post is from May 2015.



""I wonder if Choyces misses me."""	2017-07-12 01:00:41.322821	"[""GEN""	""RETWEET""]"	""	f	"[""Other""]"

1692	832053107131572224	4026332440	TriggalilSis	2	RT @Finni_Riann: wonder do choyces miss me👭😍😏	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/832053107131572224	f	f	""	t	f	""	""	1692	832053107131572224	Chloe	She's wondering if choyces misses her.	"[""supply""	""repeat""]"	""	f	0.0	This tweet is not threatening.	"TriggalilSis is retweeting a young woman who is wondering if choyces misses her. Based on some past tweets as well as this one it's possible TriggalilSis and this user could have been romantically involved. She includes two women holding hands which can signify a relationship. A heart eyes emoji to express admiration or love. And a smirking emoji which generally has some sexual connotation. It's also possible they are both just close friends. TriggalilSis most likely wanted to share the mentioning of her on her timeline.



'I wonder if choyces misses me'"	2017-06-22 13:45:15.827202	"[""REL""	""RETWEET""]"	""	f	"[""Other""]"

2122	829799547517927424	570562543	TyGLIZZY087_	0	@LalaaFamouss why 😂😒	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	http://twitter.com/statuses/829799547517927424	f	f	""	f	f	829799448897273863	http://twitter.com/statuses/829799448897273863	2122	829799547517927424	Ian	Asking why	"[""request""]"	"[""notsure""]"	f	0.0	TyGLIZZY087 seems to be mocking lalaafamous.  Not a threatening comment.	TyGLIZZY087 insulted LalaaFamouss and is playing coy about his comment.  LalaaFamouss wants him to delete his twitter or comment about her.	2017-07-11 21:01:12.582874	"[""CONVO""]"	""	f	"[""Other""]"

